teams,percent_winners,percent_winners_8
Brazil,1.6031624025474909,15.887850467289718
Spain,1.3231580103217306,8.411214953271028
USA,1.3121774459207205,3.7383177570093453
France,1.246294059514659,12.149532710280374
Japan,1.2243329307126385,5.607476635514018
Argentina,1.1639398265070826,8.411214953271028
Korea Republic,1.1584495443065774,5.14018691588785
Netherlands,1.092566157900516,8.177570093457943
Portugal,1.0706050290984956,6.074766355140187
England,1.0596244646974855,9.813084112149532
Croatia,0.9223674096848578,4.906542056074766
Morocco,0.9223674096848578,2.803738317757009
Australia,0.878445152080817,3.0373831775700935
Poland,0.8564840232787965,1.6355140186915886
Senegal,0.834522894476776,1.8691588785046727
Switzerland,0.7466783792686944,2.336448598130841
